"fold","r2_s2","r2_ae","r2_both"
1,0.561319491763651,0.753442988259782,0.758519644374234
2,0.46217296804427,0.656152203419872,0.647007615309652
3,0.567218759934687,0.781745765293918,0.798227379992037
4,0.467461847670053,0.767192154002708,0.745811910319389
5,0.627286356798745,0.801812931188626,0.802967746770691
