"target","mean_r2","lo","hi","mean_rmse"
"log_soc",0.747896276513507,0.735176505364438,0.759224232511795,0.320296553392469
"ph",0.896304174652669,0.889430567034184,0.904070001254272,0.34098228950314
"sand_logit",0.64266679284009,0.633508870724907,0.651444721755227,0.398649113041164
"clay_logit",0.55871686995761,0.538358887489568,0.571814506633278,0.297439640043504
"bd",0.806397736116168,0.78251446587558,0.81689869436135,7.61193915498479
