"target","n","mean_r2","lo","hi","rmse"
"log_soc",2983,0.320518081374445,0.259176287046169,0.376305050564789,0.679093228517344
"ph_h2o",2889,0.539116210329801,0.489472660683859,0.581520173117338,0.783886277355252
"sand_logit",2803,0.268770996566643,0.230655699268969,0.294796344771577,1.33600450957427
"clay_logit",2864,0.292039331687439,0.207354723364021,0.325859691660531,0.853520469072862
"bd_g_cm3",644,0.160524189237863,0.1198572796106,0.189080644657552,0.226916157789667
