"source","feature","r"
"AE","A40",-0.641168421985256
"AE","A33",0.557995436575567
"AE","A24",0.513847024679205
"AE","A43",0.51223023203056
"AE","A12",0.493577196463956
"S2","B12",-0.680500280531799
"S2","B11",-0.66283120775973
"S2","B4",-0.633604333763306
"S2","NBR",0.626289465350883
"S2","NDWI",0.59377391346597
