"target","t_stat","df","p_value","ci_lo","ci_hi","cohens_d","levene_p"
"log_soc",-6.23573901068889,1326.04789917785,6.03272758695919e-10,-0.176239177984503,-0.0918870502688436,-0.307023660984865,0.132656789301871
"ph",20.5035363434991,1223.41100682851,1.52991537403257e-80,0.586322221855321,0.710400673760502,1.0407125579331,0.461908552150797
"sand_logit",19.9433247787971,767.633339747658,1.26426053159713e-71,0.56621931053815,0.68985730583982,1.21245790432611,2.71009937336525e-28
"clay_logit",-6.03999287177909,1206.266477697,2.04968930348734e-09,-0.137215603931108,-0.06992985821695,-0.30816908247281,0.0142065529447798
"bd",-11.9961432204757,1533.82444408476,9.34284281590549e-32,-7.45817879754582,-5.361937581674,-0.55136121342749,5.82765662050517e-13
