lon,lat,B2,B4,B6,B8,B11,B12,NDVI,EVI,NDWI,NBR
-83.4635959416499,32.12263166600894,0.01810000091791153,0.020500000566244125,0.18119999766349792,0.21819999814033508,0.1274999976158142,0.05730000138282776,0.8282362818717957,0.41001285505610036,0.2623662054538727,0.5840290188789368
,,,,,,,,,,,
,,,,,,,,,,,
-84.61793108174348,32.241658441154776,0.03579999879002571,0.043299999088048935,0.17000000178813934,0.21359999477863312,0.17816667258739471,0.09860000014305115,0.6629038453102112,0.35334881716181665,0.09044496715068817,0.36835360527038574
,,,,,,,,,,,
-119.77125393755064,40.12662084751388,0.0880521759390831,0.1662600040435791,0.21295000612735748,0.22801999747753143,0.28450000286102295,0.23852500319480896,0.1566399335861206,0.09864624205903431,-0.11020059138536453,-0.02251659706234932
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-102.00257761766652,29.98239550159418,0.14264999330043793,0.21586667001247406,0.26820001006126404,0.29844000935554504,0.44885000586509705,0.35916000604629517,0.1605527251958847,0.13547583621054102,-0.20127393305301666,-0.0923357605934143
-81.06284834484048,27.366052236596076,0.03999999910593033,0.05355000123381615,0.23444999754428864,0.2992999851703644,0.2152000069618225,0.1264999955892563,0.6964715719223022,0.4652241103868679,0.1634596288204193,0.40582433342933655
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-118.76963239575738,34.48295507503298,0.06913333386182785,0.14345000684261322,0.21027499437332153,0.23909999430179596,0.3237000107765198,0.24079999327659607,0.2500326335430145,0.15122049193737813,-0.15031985938549042,-0.0035424025263637304
-80.87644792338567,37.000483658777945,0.0541333332657814,0.06763333082199097,0.19812500476837158,0.27044999599456787,0.20526666939258575,0.12907500565052032,0.5999014377593994,0.39916683357033006,0.13702131807804108,0.3538576662540436
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-82.1408266857839,29.46811000143575,0.03305000066757202,0.05050000175833702,0.21265000104904175,0.2747499942779541,0.19689999520778656,0.09870000183582306,0.6894696354866028,0.421562162890816,0.16505883634090424,0.4714151620864868
,,,,,,,,,,,
,,,,,,,,,,,
-113.21804393989876,37.914519460369554,0.11893846094608307,0.2124352902173996,0.25571250915527344,0.2754923105239868,0.37779998779296875,0.32126668095588684,0.12923437356948853,0.09507618472227938,-0.15660321712493896,-0.0767049565911293
,,,,,,,,,,,
-83.35804389576585,32.787384976257385,0.029600000008940697,0.03869999945163727,0.21649999916553497,0.28610000014305115,0.20110000669956207,0.09709999710321426,0.7616994976997375,0.4771272107244524,0.1744663268327713,0.49321505427360535
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-94.31973615023432,48.07895690018194,0.033149998635053635,0.039500001817941666,0.18447500467300415,0.21783334016799927,0.12702499330043793,0.07415714114904404,0.6930052042007446,0.36961553258504387,0.2633207142353058,0.49205783009529114
,,,,,,,,,,,
-122.25958727456174,40.21869816413613,0.028033332899212837,0.05380000174045563,0.2087000012397766,0.23499999940395355,0.22033333778381348,0.1302500069141388,0.6274238228797913,0.33616562632488894,0.032210823148489,0.28678983449935913
,,,,,,,,,,,
,,,,,,,,,,,
-121.62402921104716,43.776026689249434,0.03257500007748604,0.04659999907016754,0.1340000033378601,0.15700000524520874,0.15369999408721924,0.09730000048875809,0.5422397255897522,0.23148780445102246,0.010621214285492897,0.23476210236549377
-75.79198341526919,41.9546924506971,0.027550000697374344,0.027950000017881393,0.24269999563694,0.32499998807907104,0.20229999721050262,0.08860000222921371,0.8416206240653992,0.5774352040081253,0.2326948493719101,0.5715667009353638
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-78.73172018255032,35.54296711029402,0.04313333332538605,0.07090000063180923,0.21244999766349792,0.2590999901294708,0.25940001010894775,0.15872499346733093,0.5703030228614807,0.3457016721714195,-0.000578630599193275,0.24023215472698212
,,,,,,,,,,,
,,,,,,,,,,,
-99.54793110380992,47.24127789774049,0.07036666572093964,0.11720000207424164,0.2614249885082245,0.2854999899864197,0.2603999972343445,0.17075000703334808,0.4179289638996124,0.28799751328746365,0.045979104936122894,0.2515068054199219
,,,,,,,,,,,
,,,,,,,,,,,
-77.8131928045381,38.444525478000074,0.031199999153614044,0.034299999475479126,0.1927500069141388,0.21979999542236328,0.1878499984741211,0.09624999761581421,0.7300275564193726,0.3891826035608117,0.07837605476379395,0.39091914892196655
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-121.9249648312272,44.85175924198256,0.013650000095367432,0.015650000423192978,0.1891999989748001,0.23510000109672546,0.07395000010728836,0.029600000008940697,0.8751744627952576,0.4472638339977908,0.5214366912841797,0.7763505578041077
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-114.93382613256703,38.835292626592064,0.10713333636522293,0.12733332812786102,0.26135000586509705,0.31226667761802673,0.1995999962091446,0.14605000615119934,0.4206854999065399,0.3632507053029051,0.22010943293571472,0.3626677393913269
-117.96114864004984,35.55195026313521,0.1406400054693222,0.2542000114917755,0.3090749979019165,0.3416000008583069,0.4424000084400177,0.3616499900817871,0.14669349789619446,0.12058497237571877,-0.12857143580913544,-0.028510471805930138
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-117.15715646076283,34.173036302011745,0.031300000846385956,0.051600001752376556,0.1753000020980835,0.2198999971151352,0.17389999330043793,0.10040000081062317,0.619889497756958,0.32496620041741836,0.11681057512760162,0.37308773398399353
,,,,,,,,,,,
-83.38499335428943,32.55831457880691,0.01979999989271164,0.024949999526143074,0.18164999783039093,0.23090000450611115,0.1477999985218048,0.07145000249147415,0.8049638271331787,0.41788410958423494,0.219434916973114,0.52736896276474
,,,,,,,,,,,
-95.35953609160266,30.95931337307416,0.042750000953674316,0.06350000202655792,0.2150000035762787,0.2926500141620636,0.28064998984336853,0.16134999692440033,0.6434086561203003,0.42340313166616395,0.020931491628289223,0.2892070710659027
,,,,,,,,,,,
,,,,,,,,,,,
-89.37900208757695,31.190629558734937,0.02669999934732914,0.02710000053048134,0.1766500025987625,0.21649999916553497,0.11249999701976776,0.050700001418590546,0.7775040864944458,0.4016626319533521,0.31610941886901855,0.6205089688301086
,,,,,,,,,,,
,,,,,,,,,,,
-97.45934806823205,29.522008918482925,0.06440000236034393,0.10040000081062317,0.2775000035762787,0.3249000012874603,0.32945001125335693,0.20909999310970306,0.5278626680374146,0.38859655589622616,-0.006953480187803507,0.21685394644737244
,,,,,,,,,,,
-116.6743119955486,37.883078425425374,0.1459999978542328,0.24279999732971191,0.2721500098705292,0.28049999475479126,0.29074999690055847,0.26614999771118164,0.0720428004860878,0.057389023844371306,-0.017943110316991806,0.026250794529914856
,,,,,,,,,,,
-80.31050929439037,33.16916897200819,0.02239999920129776,0.0210999995470047,0.19939999282360077,0.2603999972343445,0.1347000002861023,0.05889999866485596,0.8500888347625732,0.490771118925107,0.31814730167388916,0.6310679912567139
-92.2648399378109,47.362550461096625,0.023600000888109207,0.023749999701976776,0.1319500058889389,0.14710000157356262,0.08084999769926071,0.04149999842047691,0.7219783663749695,0.2771661033476463,0.2906339168548584,0.5599151849746704
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-112.45672173660743,31.86436602182458,0.09025000035762787,0.16040000319480896,0.24169999361038208,0.2484000027179718,0.3054249882698059,0.26179999113082886,0.2152641862630844,0.14342291575763158,-0.10296571254730225,-0.026264186948537827
,,,,,,,,,,,
-97.3605333869789,32.44602516829197,0.061500001698732376,0.08760000020265579,0.241799995303154,0.29899999499320984,0.2892000079154968,0.1737000048160553,0.5468184351921082,0.38764806790972994,0.01666097715497017,0.2650729715824127
-117.02240916814492,34.435793522616706,0.10599999874830246,0.23000000417232513,0.2890999913215637,0.3285999894142151,0.4370200037956238,0.3643999993801117,0.1765126883983612,0.1288147784460227,-0.1416107416152954,-0.051659468561410904
-95.4628423492764,47.10877639333286,0.04639999940991402,0.07039999961853027,0.26284998655319214,0.326200008392334,0.17820000648498535,0.09634999930858612,0.6449823379516602,0.45659004507139755,0.29341793060302734,0.5439593195915222
,,,,,,,,,,,
-112.65210531090344,32.466237262184656,0.07772500067949295,0.1348000019788742,0.18482500314712524,0.20133332908153534,0.257874995470047,0.22349999845027924,0.19793730974197388,0.11654554587218842,-0.12312857806682587,-0.05217733234167099
-114.09390134191528,34.11464580854398,0.12511999905109406,0.2093600034713745,0.24466000497341156,0.27880001068115234,0.30799999833106995,0.27886250615119934,0.14224845170974731,0.10873378628079888,-0.049761395901441574,-0.00011206683120690286
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-117.0426212620376,46.31601315509738,0.08399999886751175,0.14980000257492065,0.1967500001192093,0.2628999948501587,0.31154999136924744,0.2240999937057495,0.27404892444610596,0.18459879690465908,-0.08468969911336899,0.0796714648604393
,,,,,,,,,,,
-80.79784533602522,38.064987270459575,0.032999999821186066,0.04390000179409981,0.18359999358654022,0.21739999949932098,0.18520000576972961,0.08489999920129776,0.6639877557754517,0.35169868659821707,0.07998011261224747,0.4383063316345215
-96.70251744136134,48.89193223231011,0.04895000159740448,0.0632999986410141,0.2641499936580658,0.32120001316070557,0.15729999542236328,0.08675000071525574,0.6707412600517273,0.48336616224916146,0.342528760433197,0.574702799320221
-101.20083122658984,30.41358683797155,0.06939999759197235,0.09529999643564224,0.1941000074148178,0.22439999878406525,0.2797999978065491,0.21230000257492065,0.4038161039352417,0.25299835934792203,-0.10987703502178192,0.027707800269126892
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-81.71861850224772,34.31901253568117,0.05559999868273735,0.0851999968290329,0.2847999930381775,0.3476000130176544,0.29600000381469727,0.17069999873638153,0.6062846779823303,0.45498684887651086,0.0801740363240242,0.3413081467151642
-93.95142688374531,48.62917501170515,0.04800000041723251,0.06949999928474426,0.23749999701976776,0.3012999892234802,0.1518000066280365,0.08945000171661377,0.6251348257064819,0.4266362236696359,0.32994920015335083,0.5421624779701233
-77.38873883279163,37.98638468309912,0.029600000008940697,0.03545000031590462,0.20624999701976776,0.3111000061035156,0.16840000450611115,0.07985000312328339,0.7954119443893433,0.5293631973192333,0.2976016700267792,0.5915078520774841
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-99.16839289626942,47.32886363794214,0.08399999886751175,0.14000000059604645,0.21559999883174896,0.22419999539852142,0.2919999957084656,0.23309999704360962,0.23119163513183594,0.14677170960119126,-0.13134443759918213,-0.019462063908576965
,,,,,,,,,,,
,,,,,,,,,,,
-114.32072595115548,35.31614250105384,0.10159999877214432,0.17219999432563782,0.20999999344348907,0.22579999268054962,0.26249998807907104,0.21690000593662262,0.1346733719110489,0.08951235722491788,-0.07515870779752731,0.020103877410292625
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-110.4961486290166,32.02830856117639,0.12479999661445618,0.20679999887943268,0.28040000796318054,0.2809999883174896,0.3644999861717224,0.3012999892234802,0.1521115005016327,0.11697564180728326,-0.12935708463191986,-0.03486175835132599
,,,,,,,,,,,
-123.19608095825632,45.99037386460405,0.02198571339249611,0.024174999445676804,0.2781333327293396,0.40575000643730164,0.13500000536441803,0.0568000003695488,0.8875385522842407,0.688312716795559,0.5006935000419617,0.7544049024581909
-81.9723925700115,30.43379893186424,0.05025000125169754,0.0729999989271164,0.14034999907016754,0.18029999732971191,0.2535000145435333,0.15805000066757202,0.42360836267471313,0.21608232475018693,-0.1687413901090622,0.0657602995634079
,,,,,,,,,,,
,,,,,,,,,,,
-112.84075152056856,37.016204176250035,0.08895999938249588,0.19429999589920044,0.24985000491142273,0.27024999260902405,0.416949987411499,0.3862000107765198,0.16349154710769653,0.1073437514271794,-0.21347497403621674,-0.17663191258907318
-118.49564623410092,39.00597253057477,0.16779999434947968,0.26829999685287476,0.29624998569488525,0.31679999828338623,0.3585500121116638,0.32359999418258667,0.08289181441068649,0.07268748995454637,-0.06181981787085533,-0.010618356987833977
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
-115.219041235275,34.94109586993394,0.14139999449253082,0.2563000023365021,0.2957000136375427,0.3100000023841858,0.4278999865055084,0.3820500075817108,0.09482606500387192,0.07511329703154464,-0.15977773070335388,-0.10411097854375839
-101.59608995160244,32.149581124532524,0.11800000071525574,0.21160000562667847,0.29100000858306885,0.32199999690055847,0.4106999933719635,0.3695000112056732,0.20689652860164642,0.1617250522053609,-0.12105908989906311,-0.06869126856327057
,,,,,,,,,,,
-102.8065697969535,47.4097120135129,0.060600001364946365,0.10440000146627426,0.18129999935626984,0.2093999981880188,0.2883000075817108,0.20900000631809235,0.3346080183982849,0.19003836416582814,-0.15852925181388855,0.0009560034959577024
,,,,,,,,,,,
-95.99733994332752,29.667985152152347,0.04035000130534172,0.06360000371932983,0.2363000065088272,0.28279998898506165,0.2688499987125397,0.14910000562667847,0.6327944397926331,0.40241593696189754,0.025287756696343422,0.3095623552799225
-103.13670066386742,31.0738485717994,0.12919999659061432,0.21570000052452087,0.2728999853134155,0.2687000036239624,0.37549999356269836,0.35429999232292175,0.10941371321678162,0.08312943413016806,-0.165787011384964,-0.13739965856075287
,,,,,,,,,,,
-110.8779326247674,32.97827697413278,0.08160000294446945,0.14380000531673431,0.2085999995470047,0.22599999606609344,0.26170000433921814,0.20360000431537628,0.2222822904586792,0.13915220480414978,-0.0732007548213005,0.05214150622487068
-117.52097415083124,37.92799418963135,0.1242000013589859,0.1737000048160553,0.19955000281333923,0.2110999971628189,0.24774999916553497,0.22529999911785126,0.09719333052635193,0.07073685863560639,-0.07987359911203384,-0.03253896161913872
-98.3037644353044,48.61120870602276,0.0989999994635582,0.16439999639987946,0.27219998836517334,0.33329999446868896,0.27320000529289246,0.21770000457763672,0.3393610715866089,0.2677212790760335,0.09909313917160034,0.2098003476858139
