lon,lat,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,soc,ph_x10,sand_pct,clay_pct,bd,land_cover
-83.4635959416499,32.12263166600894,0.017777777777777778,-0.11909265667051133,-0.15378700499807765,0.15378700499807765,-0.16000000000000003,-0.09356401384083046,-0.01384083044982699,0.08421376393694734,0.0271280276816609,-0.11909265667051133,-0.12456747404844293,0.10340638216070744,-0.13588619761630144,0.16633602460592078,-0.044844290657439445,-0.07972318339100345,-0.1929104190695886,-0.07111111111111111,0.16633602460592078,-0.05173394848135333,-0.08421376393694734,-0.07111111111111111,0.21413302575932336,-0.11374086889657825,-0.007443291041906958,0.2519646289888504,-0.019930795847750864,0.06698961937716265,0.01574778931180315,0.1929104190695886,0.13588619761630144,-0.03543252595155709,0.05173394848135333,-0.0271280276816609,-0.2364628988850442,0.004982698961937716,-0.06698961937716265,-0.08421376393694734,0.15378700499807765,0.04822760476739715,0.012056901191849288,0.15378700499807765,0.21413302575932336,0.007443291041906958,0.03844675124951941,-0.007443291041906958,-0.10340638216070744,-0.08421376393694734,0.3188927335640138,-0.16633602460592078,-0.15378700499807765,-0.006151480199923107,-0.03543252595155709,0.029773164167627833,0.1929104190695886,0.0629911572472126,-0.03254133025759323,0.1929104190695886,0.041584006151480196,-0.28444444444444444,0.08882737408688965,-0.05911572472126105,0.06698961937716265,0.1085121107266436,3,62,58,23,156,9
-107.1229747371478,42.228678612353555,0.08421376393694734,-0.041584006151480196,0.017777777777777778,-0.09842368319876971,0.22145328719723184,0.1085121107266436,0.019930795847750864,-0.022206843521722412,-0.12456747404844293,0.13016532103037293,-0.044844290657439445,-0.2069357939254133,-0.08882737408688965,-0.0629911572472126,-0.2288965782391388,0.06698961937716265,-0.0629911572472126,0.05173394848135333,0.15378700499807765,-0.2519646289888504,-0.04822760476739715,-0.10340638216070744,-0.024605920799692427,-0.10340638216070744,-0.05173394848135333,0.10340638216070744,0.09356401384083046,-0.05173394848135333,0.010396001537870049,0.17279507881584008,0.07111111111111111,0.15378700499807765,0.186082276047674,-0.10340638216070744,-0.01384083044982699,0.003936947327950788,-0.0005536332179930795,0.14769703960015382,-0.1085121107266436,-0.024605920799692427,0.13016532103037293,-0.03543252595155709,0.08882737408688965,-0.22145328719723184,0.05911572472126105,0.10340638216070744,0.10340638216070744,-0.17279507881584008,-0.0629911572472126,-0.3278123798539023,0.11909265667051133,-0.08882737408688965,0.06698961937716265,0.14769703960015382,0.17937716262975778,0.08882737408688965,-0.28444444444444444,-0.19986159169550174,-0.05536332179930796,0.12456747404844293,0.08882737408688965,-0.029773164167627833,0.03844675124951941,0.10340638216070744,2,76,40,16,141,10
-113.13270398790739,39.37203600885348,0.17279507881584008,0.06698961937716265,0.08882737408688965,0.03844675124951941,0.2069357939254133,0.186082276047674,0.008858131487889272,-0.03254133025759323,-0.09356401384083046,0.14173010380622836,0.11374086889657825,-0.07972318339100345,-0.24415224913494812,-0.07111111111111111,-0.1085121107266436,0.010396001537870049,-0.07535563244905807,0.03543252595155709,0.31009611687812383,-0.21413302575932336,-0.05536332179930796,0.01574778931180315,-0.06698961937716265,-0.022206843521722412,-0.16633602460592078,0.08421376393694734,0.019930795847750864,-0.08421376393694734,0.03543252595155709,0.11374086889657825,0.07111111111111111,0.07535563244905807,0.22145328719723184,-0.2519646289888504,-0.0271280276816609,-0.05911572472126105,0.08421376393694734,0.17279507881584008,-0.1085121107266436,-0.0629911572472126,0.08882737408688965,-0.0629911572472126,0.17279507881584008,-0.2288965782391388,0.186082276047674,0.09842368319876971,0.010396001537870049,-0.08882737408688965,0.04822760476739715,-0.19986159169550174,0.03254133025759323,-0.05536332179930796,0.03254133025759323,-0.09356401384083046,0.186082276047674,0.16633602460592078,-0.13016532103037293,-0.13588619761630144,-0.16633602460592078,0.05173394848135333,0.12456747404844293,-0.029773164167627833,-0.08882737408688965,0.022206843521722412,1,80,48,19,143,16
-84.61793108174348,32.241658441154776,0.01384083044982699,-0.01574778931180315,-0.07111111111111111,0.2761399461745483,-0.07535563244905807,-0.1085121107266436,-0.08421376393694734,-0.04822760476739715,0.12456747404844293,-0.07972318339100345,-0.12456747404844293,0.019930795847750864,-0.2761399461745483,-0.041584006151480196,-0.06698961937716265,-0.03254133025759323,-0.11374086889657825,0.11374086889657825,-0.041584006151480196,-0.05911572472126105,-0.15378700499807765,0.03844675124951941,0.017777777777777778,0.0629911572472126,0.041584006151480196,0.14769703960015382,-0.186082276047674,-0.1085121107266436,0.044844290657439445,0.2679584775086506,0.13016532103037293,0.09842368319876971,0.1085121107266436,0.0005536332179930795,-0.2519646289888504,0.041584006151480196,-0.08421376393694734,-0.06698961937716265,0.11374086889657825,-0.09356401384083046,0.0271280276816609,0.09842368319876971,0.13016532103037293,0.08421376393694734,0.2364628988850442,0.12456747404844293,-0.05173394848135333,-0.2364628988850442,0.2069357939254133,-0.08882737408688965,-0.06698961937716265,0.05911572472126105,-0.07972318339100345,0.14769703960015382,0.16633602460592078,-0.029773164167627833,-0.03254133025759323,0.1085121107266436,0.1929104190695886,-0.2761399461745483,0.004982698961937716,-0.044844290657439445,0.11374086889657825,0.06698961937716265,5,53,48,14,148,8
-111.9738772713932,33.294933111784914,0.16000000000000003,0.07972318339100345,0.15378700499807765,0.06698961937716265,-0.01574778931180315,-0.003936947327950788,0.07535563244905807,-0.024605920799692427,-0.2599000384467512,-0.11374086889657825,0.13588619761630144,0.002214532871972318,-0.31009611687812383,-0.05173394848135333,0.0629911572472126,-0.05173394848135333,0.03543252595155709,0.07111111111111111,0.1929104190695886,0.0271280276816609,-0.029773164167627833,-0.09842368319876971,-0.22145328719723184,-0.186082276047674,-0.17937716262975778,0.186082276047674,-0.07972318339100345,-0.13588619761630144,0.17279507881584008,0.2364628988850442,0.2069357939254133,-0.13588619761630144,0.019930795847750864,-0.2761399461745483,-0.12456747404844293,0.14173010380622836,0.019930795847750864,-0.0629911572472126,-0.16633602460592078,0.05536332179930796,0.14769703960015382,-0.12456747404844293,0.15378700499807765,-0.2069357939254133,0.0271280276816609,0.09356401384083046,0.05536332179930796,0.04822760476739715,-0.024605920799692427,-0.11374086889657825,-0.11909265667051133,-0.041584006151480196,0.0629911572472126,-0.08882737408688965,0.09356401384083046,0.10340638216070744,-0.05536332179930796,-0.0629911572472126,-0.012056901191849288,-0.0629911572472126,0.08882737408688965,-0.03254133025759323,-0.008858131487889272,-0.006151480199923107,1,81,49,17,149,13
-119.77125393755065,40.12662084751388,0.186082276047674,0.09356401384083046,-0.041584006151480196,-0.044844290657439445,0.2364628988850442,0.22145328719723184,0.1085121107266436,-0.007443291041906958,-0.08421376393694734,-0.08882737408688965,0.05536332179930796,-0.0629911572472126,-0.22145328719723184,-0.10340638216070744,0.008858131487889272,0.03844675124951941,-0.07972318339100345,0.08421376393694734,0.15378700499807765,-0.11374086889657825,-0.044844290657439445,-0.044844290657439445,0.01574778931180315,-0.003014225297962322,-0.024605920799692427,0.07972318339100345,0.029773164167627833,-0.04822760476739715,0.13016532103037293,0.19986159169550174,0.07111111111111111,0.08882737408688965,0.2761399461745483,-0.11909265667051133,0.041584006151480196,0.006151480199923107,0.008858131487889272,0.01574778931180315,-0.2069357939254133,0.17279507881584008,-0.03844675124951941,-0.01384083044982699,0.16000000000000003,-0.31009611687812383,0.14769703960015382,0.15378700499807765,0.1085121107266436,-0.13588619761630144,-0.09842368319876971,-0.2599000384467512,0.04822760476739715,-0.1085121107266436,0.05536332179930796,-0.07972318339100345,0.13016532103037293,0.09842368319876971,-0.1929104190695886,-0.186082276047674,-0.13588619761630144,0.041584006151480196,0.17937716262975778,-0.044844290657439445,0.07111111111111111,0.01574778931180315,2,76,49,18,139,10
-107.477809274375,43.42119215202222,0.044844290657439445,-0.008858131487889272,-0.08421376393694734,-0.08421376393694734,0.16633602460592078,0.0271280276816609,0.0271280276816609,0.07972318339100345,-0.003936947327950788,-0.010396001537870049,0.0271280276816609,-0.08882737408688965,-0.05911572472126105,-0.15378700499807765,-0.08421376393694734,0.12456747404844293,-0.044844290657439445,0.11909265667051133,0.06698961937716265,-0.08421376393694734,-0.03254133025759323,-0.09356401384083046,0.13588619761630144,0.008858131487889272,-0.03254133025759323,0.044844290657439445,-0.06698961937716265,0.01384083044982699,0.10340638216070744,0.21413302575932336,0.17279507881584008,0.16000000000000003,0.34602076124567477,6.151480199923106e-05,0.05173394848135333,0.07535563244905807,0.04822760476739715,0.08421376393694734,-0.16633602460592078,0.15378700499807765,-0.05173394848135333,0.041584006151480196,0.05173394848135333,-0.186082276047674,0.09356401384083046,0.14173010380622836,0.13016532103037293,-0.186082276047674,-0.14769703960015382,-0.2761399461745483,0.17937716262975778,-0.13016532103037293,-0.07111111111111111,0.022206843521722412,0.2519646289888504,0.17937716262975778,-0.2679584775086506,-0.2599000384467512,-0.1085121107266436,0.002214532871972318,0.03844675124951941,0.07972318339100345,-0.002214532871972318,0.06698961937716265,7,76,39,20,127,10
-108.89939321149414,41.88507301617784,0.16633602460592078,-0.012056901191849288,-0.004982698961937716,-0.05911572472126105,0.2364628988850442,0.041584006151480196,0.006151480199923107,-0.12456747404844293,-0.11909265667051133,0.09356401384083046,0.0005536332179930795,-0.15378700499807765,-0.14173010380622836,-0.07111111111111111,-0.186082276047674,0.11374086889657825,0.024605920799692427,0.1085121107266436,0.24415224913494812,-0.1929104190695886,0.012056901191849288,0.0629911572472126,-0.07972318339100345,-0.05173394848135333,-0.186082276047674,0.022206843521722412,0.09842368319876971,0.006151480199923107,0.041584006151480196,0.07535563244905807,0.07535563244905807,0.08882737408688965,0.15378700499807765,-0.16000000000000003,-0.003014225297962322,-0.07972318339100345,0.010396001537870049,0.10340638216070744,-0.19986159169550174,0.017777777777777778,0.16000000000000003,-0.006151480199923107,0.07111111111111111,-0.17279507881584008,0.05911572472126105,0.13016532103037293,0.1085121107266436,-0.2288965782391388,0.044844290657439445,-0.24415224913494812,0.12456747404844293,-0.21413302575932336,0.019930795847750864,0.04822760476739715,0.13588619761630144,0.14173010380622836,-0.31009611687812383,-0.19986159169550174,-0.09842368319876971,0.029773164167627833,0.07111111111111111,0.07535563244905807,0.007443291041906958,0.1085121107266436,3,80,43,23,149,10
-82.35642235397259,36.519884981774,-0.15378700499807765,0.05173394848135333,-0.029773164167627833,0.13016532103037293,0.11909265667051133,-0.186082276047674,0.0271280276816609,0.13588619761630144,0.16633602460592078,-0.1085121107266436,0.03543252595155709,-0.05536332179930796,-0.17279507881584008,-0.08882737408688965,-0.11909265667051133,0.12456747404844293,-0.09842368319876971,0.07535563244905807,-0.24415224913494812,0.012056901191849288,0.07111111111111111,0.10340638216070744,-0.13016532103037293,0.13588619761630144,0.1085121107266436,0.024605920799692427,-0.21413302575932336,-0.15378700499807765,0.004982698961937716,0.05536332179930796,-0.14769703960015382,0.05536332179930796,-0.05536332179930796,-0.017777777777777778,0.05173394848135333,-0.13016532103037293,-0.2364628988850442,-0.28444444444444444,-0.044844290657439445,-0.17279507881584008,-0.00024605920799692423,0.06698961937716265,0.2364628988850442,-0.044844290657439445,-0.03844675124951941,0.16000000000000003,0.15378700499807765,-0.186082276047674,0.14173010380622836,-0.13588619761630144,-0.08421376393694734,0.08882737408688965,-0.03844675124951941,0.12456747404844293,0.08421376393694734,0.16633602460592078,0.029773164167627833,0.09356401384083046,-0.03254133025759323,-0.05911572472126105,0.019930795847750864,-0.17937716262975778,-0.1929104190695886,-0.07535563244905807,4,56,31,24,142,9
-96.3948444565504,41.82443673449977,0.03543252595155709,0.017777777777777778,0.0629911572472126,-0.3278123798539023,0.07111111111111111,-0.012056901191849288,0.041584006151480196,0.07111111111111111,-0.08882737408688965,-0.2364628988850442,0.07535563244905807,-0.13016532103037293,-0.04822760476739715,-0.012056901191849288,-0.08882737408688965,0.17937716262975778,-0.14173010380622836,0.03844675124951941,-0.008858131487889272,0.19986159169550174,-0.04822760476739715,0.04822760476739715,0.16000000000000003,0.041584006151480196,0.03543252595155709,0.14769703960015382,0.16000000000000003,-0.03254133025759323,0.0005536332179930795,-0.2599000384467512,-0.22145328719723184,-0.07972318339100345,0.1085121107266436,0.186082276047674,-0.1085121107266436,-0.24415224913494812,-0.0629911572472126,0.007443291041906958,0.14173010380622836,0.0271280276816609,0.05536332179930796,0.09356401384083046,0.15378700499807765,-0.12456747404844293,-0.041584006151480196,0.07111111111111111,0.17279507881584008,-0.05536332179930796,0.1929104190695886,-0.029773164167627833,0.2679584775086506,-0.010396001537870049,-0.13588619761630144,0.08421376393694734,0.03844675124951941,0.186082276047674,-0.10340638216070744,0.03844675124951941,0.044844290657439445,-0.11374086889657825,-0.13588619761630144,0.03254133025759323,-0.14769703960015382,0.1085121107266436,3,64,10,28,147,12
